key,family,family_display,category,subcategory,story_group,chapter_code,chapter_label,conversation_key,conversation_label,scene_key,scene_label,scene_group,scene_part_a,scene_part_b,line_index,dialogue_type,speaker_name,speaker_role,speaker_display,speaker_key,speaker_bucket,speaker_slot,speaker_confidence,mentions,text_raw,text_clean,source_path
funcnpc_royalsupply_hernand_00_npc_01_00013,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,00,Funcnpc 00,funcnpc_royalsupply_hernand_00,royalsupply_hernand_00,funcnpc_royalsupply_hernand_00_npc_01,royalsupply_hernand_00_npc_01,royalsupply_hernand_00,royalsupply,hernand_00,13,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﺃﺣﺪﻫﻢ ﻫﻨﺎ.,ﺃﺣﺪﻫﻢ ﻫﻨﺎ.,gamedata/localizationstring_eng.paloc
funcnpc_royalsupply_hernand_00_npc_01_00014,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,00,Funcnpc 00,funcnpc_royalsupply_hernand_00,royalsupply_hernand_00,funcnpc_royalsupply_hernand_00_npc_01,royalsupply_hernand_00_npc_01,royalsupply_hernand_00,royalsupply,hernand_00,14,npc_01,,npc_01,NPC 01,NPC 01,NPC,1,role,,ﻭﺍﺻﻞ ﺍﻟﺴﻴﺮ.,ﻭﺍﺻﻞ ﺍﻟﺴﻴﺮ.,gamedata/localizationstring_eng.paloc
funcnpc_animalstolen_npc_00009,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,,Funcnpc,funcnpc_animalstolen,animalstolen,funcnpc_animalstolen_npc,animalstolen_npc,animalstolen,animalstolen,,9,npc,,npc,NPC,NPC,NPC,,role,,ﻓﻬﻤﺖ.,ﻓﻬﻤﺖ.,gamedata/localizationstring_eng.paloc
funcnpc_animalstolen_npc_00010,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,,Funcnpc,funcnpc_animalstolen,animalstolen,funcnpc_animalstolen_npc,animalstolen_npc,animalstolen,animalstolen,,10,npc,,npc,NPC,NPC,NPC,,role,,ﻋﻴﻨﺔ ﻣﻤﺘﺎﺯﺓ، ﻣﻤﺘﻠﺌﺔ ﻛﻤﺎ ﻳﻨﺒﻐﻲ!,ﻋﻴﻨﺔ ﻣﻤﺘﺎﺯﺓ، ﻣﻤﺘﻠﺌﺔ ﻛﻤﺎ ﻳﻨﺒﻐﻲ!,gamedata/localizationstring_eng.paloc
funcnpc_carriagefence_npc_00033,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,,Funcnpc,funcnpc_carriagefence,carriagefence,funcnpc_carriagefence_npc,carriagefence_npc,carriagefence,carriagefence,,33,npc,,npc,NPC,NPC,NPC,,role,,ﺳﻴﺪﻱ، ﻟﻢ ﻻ ﺗﺴﺘﻘﺪﻡ ﺍﻟﻤﺰﻳﺪ ﻣﻦ ﺍﻷﻳﺪﻱ ﻟﻨﻌﻤﻞ ﺑﺎﻟﺘﻨﺎﻭﺏ؟,ﺳﻴﺪﻱ، ﻟﻢ ﻻ ﺗﺴﺘﻘﺪﻡ ﺍﻟﻤﺰﻳﺪ ﻣﻦ ﺍﻷﻳﺪﻱ ﻟﻨﻌﻤﻞ ﺑﺎﻟﺘﻨﺎﻭﺏ؟,gamedata/localizationstring_eng.paloc
funcnpc_carriagefence_npc_00034,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,,Funcnpc,funcnpc_carriagefence,carriagefence,funcnpc_carriagefence_npc,carriagefence_npc,carriagefence,carriagefence,,34,npc,,npc,NPC,NPC,NPC,,role,,ﺃﻳﺮﻳﺪﻧﺎ ﺃﻥ ﻧﺴﺮﻉ ﺃﻡ ﻻ؟,ﺃﻳﺮﻳﺪﻧﺎ ﺃﻥ ﻧﺴﺮﻉ ﺃﻡ ﻻ؟,gamedata/localizationstring_eng.paloc
funcnpc_carriagefence_npc_00035,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,,Funcnpc,funcnpc_carriagefence,carriagefence,funcnpc_carriagefence_npc,carriagefence_npc,carriagefence,carriagefence,,35,npc,,npc,NPC,NPC,NPC,,role,,ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﻧﺨﻔﻴﻪ ﺑﻌﻴﺪﺍ ﻋﻦ ﺍﻷﻋﻴﻦ ﺍﻟﻤﺘﻄﻔﻠﺔ.,ﻣﻦ ﺍﻷﻓﻀﻞ ﺃﻥ ﻧﺨﻔﻴﻪ ﺑﻌﻴﺪﺍ ﻋﻦ ﺍﻷﻋﻴﻦ ﺍﻟﻤﺘﻄﻔﻠﺔ.,gamedata/localizationstring_eng.paloc
funcnpc_carriagefence_npc_00036,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,,Funcnpc,funcnpc_carriagefence,carriagefence,funcnpc_carriagefence_npc,carriagefence_npc,carriagefence,carriagefence,,36,npc,,npc,NPC,NPC,NPC,,role,,ﻫﻴﺎ، ﻟﻨﺄﺧﺬ ﺟﻤﻴﻌﺎ ﺍﺳﺘﺮﺍﺣﺔ.,ﻫﻴﺎ، ﻟﻨﺄﺧﺬ ﺟﻤﻴﻌﺎ ﺍﺳﺘﺮﺍﺣﺔ.,gamedata/localizationstring_eng.paloc
funcnpc_wantedfence_npc_00022,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,,Funcnpc,funcnpc_wantedfence,wantedfence,funcnpc_wantedfence_npc,wantedfence_npc,wantedfence,wantedfence,,22,npc,,npc,NPC,NPC,NPC,,role,,ﻫﺬﺍ ﻫﻮ.,ﻫﺬﺍ ﻫﻮ.,gamedata/localizationstring_eng.paloc
funcnpc_wantedfence_npc_00023,funcnpc,Funcnpc,Scene Dialogue,Funcnpc,Funcnpc,,Funcnpc,funcnpc_wantedfence,wantedfence,funcnpc_wantedfence_npc,wantedfence_npc,wantedfence,wantedfence,,23,npc,,npc,NPC,NPC,NPC,,role,,,,gamedata/localizationstring_eng.paloc
